,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
269303,2020-01-20,Gyeongsangbuk-do,Andong,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269276,2020-01-20,Gyeonggi-do,Ansan,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269277,2020-01-20,Gyeonggi-do,Anseong,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269278,2020-01-20,Gyeonggi-do,Anyang,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269237,2020-01-20,Chungcheongnam-do,Asan,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269304,2020-01-20,Gyeongsangbuk-do,Bonghwa,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269279,2020-01-20,Gyeonggi-do,Bucheon,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269040,2020-01-20,Busan,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269041,2020-01-20,Busan,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269042,2020-01-20,Busan,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269043,2020-01-20,Busan,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269044,2020-01-20,Busan,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269079,2020-01-20,Daegu,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269080,2020-01-20,Daegu,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269081,2020-01-20,Daegu,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269082,2020-01-20,Daegu,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269083,2020-01-20,Daegu,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269110,2020-01-20,Gwangju,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269111,2020-01-20,Gwangju,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269112,2020-01-20,Gwangju,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269113,2020-01-20,Gwangju,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269114,2020-01-20,Gwangju,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269133,2020-01-20,Ulsan,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269134,2020-01-20,Ulsan,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269135,2020-01-20,Ulsan,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269136,2020-01-20,Ulsan,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269137,2020-01-20,Ulsan,Buk,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269192,2020-01-20,Incheon,Bupyeong,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269045,2020-01-20,Busan,Busan,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269046,2020-01-20,Busan,Busanjin,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
269238,2020-01-20,Chungcheongnam-do,Buyeo,female,40.0,0.0,0.0,0.0,0.0,0.0,0.0
